,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
0,619.0,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,1.0,1,0,0,1,0
1,608.0,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0,0,0,1,1,0
2,502.0,42.0,8.0,159660.8,3.0,1.0,0.0,113931.57,1.0,1,0,0,1,0
3,699.0,39.0,1.0,0.0,2.0,0.0,0.0,100091.28694925494,0.0,1,0,0,1,0
4,850.0,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0,0,0,1,1,0
5,645.0,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,1.0,0,0,1,0,1
6,822.0,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,1,0,0,0,1
7,376.0,29.0,4.0,97055.145,4.0,1.0,0.0,119346.88,1.0,0,1,0,1,0
8,652.0,37.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0,1,0,0,0,1
9,684.0,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0,1,0,0,0,1
10,528.0,31.0,6.0,97055.145,2.0,0.0,0.0,80181.12,0.0,1,0,0,0,1
11,497.0,37.0,3.0,0.0,2.0,1.0,0.0,100091.28694925494,0.0,0,0,1,0,1
12,476.0,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0,1,0,0,1,0
13,549.0,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0,1,0,0,1,0
14,635.0,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,0,0,1,1,0
15,616.0,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0,0,1,0,0,1
16,653.0,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,1.0,0,1,0,0,1
17,549.0,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,0,0,1,1,0
18,587.0,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,0.0,0,0,1,0,1
19,726.0,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0,1,0,0,1,0
20,732.0,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,0.0,1,0,0,0,1
21,636.0,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0,0,0,1,1,0
